ProteinID	Known_GO_Terms
P0ADG1	GO:0003984, GO:0005948, GO:0008652, GO:0009082, GO:0009097, GO:0009099
P0AEJ8	GO:0006974, GO:0031469, GO:0034214, GO:0042802, GO:0046336
P0AFW2	GO:0005737, GO:0019843, GO:0022611, GO:0032055, GO:0043022, GO:0043024
P0AG51	GO:0000027, GO:0002181, GO:0003735, GO:0005737, GO:0022625
P0C0L9	GO:0004857, GO:0005506, GO:0005829, GO:0008198, GO:0016226
P11521	GO:0000428, GO:0001054, GO:0001055, GO:0001056, GO:0003677, GO:0003899, GO:0005737, GO:0006351
P12878	GO:0003735, GO:0006412, GO:0008270, GO:0015935, GO:0019843
P15819	GO:0009539, GO:0015979, GO:0030096, GO:0031676
P22995	GO:0030541, GO:0042803, GO:0043565, GO:0045892, GO:0051290, GO:0097351
P32081	GO:0003676, GO:0003677, GO:0005737, GO:0009295, GO:0010468
P33229	GO:0009307, GO:0046677, GO:1990238
P39463	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351
P39472	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
P46217	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0046983
P48781	GO:0003690, GO:0005694, GO:0005737, GO:0006265, GO:0042803, GO:0046982
P49228	GO:0003735, GO:0006412, GO:0015934, GO:0019843, GO:0046872
P58034	GO:0000935, GO:0005886, GO:0051301
P60832	GO:0001682, GO:0003723, GO:0004526, GO:0005737, GO:0030677
P64559	GO:0005737, GO:0006105, GO:0034552
P64646	GO:0005886, GO:0016020, GO:0060187
P68191	GO:0005829, GO:0006412, GO:0043024
P68679	GO:0000028, GO:0002181, GO:0003735, GO:0005737, GO:0005829, GO:0019843, GO:0022627
P69222	GO:0003743, GO:0005829, GO:0019843, GO:0043022
P69330	GO:0005737, GO:0006084, GO:0006101, GO:0009346, GO:0051192
P72575	GO:0015979, GO:0030096, GO:0031676
P72701	GO:0019684, GO:0030096, GO:0031676
P73070	GO:0009523, GO:0009539, GO:0015979, GO:0030096, GO:0031676
P73528	GO:0009539, GO:0015979, GO:0030096, GO:0031676, GO:0042549
P73545	GO:0031676, GO:0042619, GO:0070088
P73676	GO:0015979, GO:0030096, GO:0030145, GO:0031676
P74787	GO:0009539, GO:0015979, GO:0030096, GO:0031676
P75993	GO:0003677, GO:0042542, GO:0042803, GO:0044010, GO:0071468
P76106	GO:0003729, GO:0004521, GO:0006355, GO:0006402, GO:0040008, GO:0110001
P76136	GO:0005886, GO:0010447
P83657	GO:0004096, GO:0020037, GO:0042542, GO:0042744, GO:0046872
P85078	GO:0004860, GO:0006469, GO:0050830
P86720	GO:0005102, GO:0005576, GO:0009275, GO:0031640, GO:0050830
P96621	GO:0006355, GO:0042802
P9WF21	GO:0097351, GO:0098754
P9WF25	GO:0003677, GO:0006355
P9WIG7	GO:0005576, GO:0009986
P9WJ87	GO:0003677, GO:0006355, GO:0045926, GO:0097351, GO:0098754
P9WNK3	GO:0005576, GO:0005829, GO:0046872, GO:0097013
P9WP33	GO:0005829, GO:0019344, GO:0032991
P9WQF1	GO:0000035, GO:0000036, GO:0005829, GO:0009245, GO:0019540
Q03512	GO:0015977, GO:0015979, GO:0031470, GO:0043886
Q09123	GO:0005524, GO:0008865, GO:0016052, GO:0046872
Q2EES9	GO:0003677, GO:0006310, GO:0042802, GO:0043565, GO:0044349, GO:2000143
Q2FXT0	GO:0003735, GO:0006412, GO:0022625
Q46868	GO:0005829, GO:0006744, GO:0016020, GO:0042802, GO:0110142
Q4JAE8	GO:0000428, GO:0003677, GO:0003899, GO:0005737, GO:0006351, GO:0008270
